7856.13665126912, 37178.5826626551, simulated = True, ibm_lagos
8159.3844822747, 37083.5045346125, simulated = True, ibm_lagos
8272.0892907208, 35727.3015662576, simulated = True, ibm_lagos
8288.30943419822, 33595.869723234, simulated = False, ibm_lagos
8330.13863342032, 39037.5392077517, simulated = False, ibm_lagos
8404.54662241951, 38480.962638807, simulated = False, ibm_lagos
8357.48714649761, 36531.1496599144, simulated = True, ibm_perth
8614.10099211784, 36657.7751004841, simulated = True, ibm_perth
8451.07475137624, 41394.8069380939, simulated = True, ibm_perth
8345.53639293845, 37189.62287036, simulated = True, ibm_perth
8169.57537544097, 39125.0437731488, simulated = False, ibm_perth
8279.35919938131, -338231.68350933, simulated = False, ibm_perth
8685.271505445427, -720435.632635562, simulated = False, ibm_perth
8124.913662111283, 37823.3647898573, simulated = False, ibm_perth
8303.132875720517, 36177.56928318151, simulated = False, ibm_perth, 2022-05-21 18:39:47.380558+02:00
7913.663654171473, 35182.26094565706, simulated = False, ibm_perth, 2022-05-21 18:51:27.273065+02:00
8578.07914504057, 34606.81005161081, simulated = False, ibm_lagos, 2022-05-21 19:05:41.024236+02:00
8419.084115327767, 35182.194304982455, simulated = False, ibm_lagos, 2022-05-21 20:42:46.754002+02:00
8055.7043475131895, 35681.459062792754, simulated = True, ibm_lagos, 2022-05-21 20:56:06.942611+02:00
7810.231677755249, 36252.49931377384, simulated = True, ibm_lagos, 2022-05-21 21:01:33.257414+02:00
8597.996583123226, 37270.07861281062, simulated = True, ibm_perth, 2022-05-21 21:09:43.657110+02:00
8202.6875125248, 36560.051559929525, simulated = True, ibm_perth, 2022-05-21 21:17:36.214942+02:00
