,Device,Quantum Volume,qubits,Execution_backend,asset,risk_factor,Expected Total Loss
0,,,7.0,Simulator,"[36, 258]",[1],6786.642181432726
1,,,7.0,Simulator,"[36, 258]",[1],7697.663362102197
2,,,7.0,Simulator,"[36, 258]",[1],7904.277098883341
3,,,7.0,Simulator,"[36, 258]",[1],9242.379507981754
4,,,7.0,Simulator,"[36, 258]",[1],8092.811425378635
5,,,7.0,Simulator,"[36, 258]",[1],7688.14909191496
6,,,7.0,Simulator,"[36, 258]",[1],7087.587897392963
7,,,7.0,Simulator,"[36, 258]",[1],9579.215624647002
8,,,7.0,Simulator,"[36, 258]",[1],9359.795454290836
9,,,7.0,Simulator,"[36, 258]",[1],7346.602481764999
